generation,individual_index,fitness,tau,lr,layers,activations
8,3,3.4188333,0.01,0.005,"[2, 2]","[<function relu at 0x1070f04a0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
8,4,3.1853333,0.005,0.002,"[16, 8, 16]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
8,5,2.8261664,0.001,0.002,"[64, 2]","[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
8,6,2.7926664,0.05,0.008,"[64, 8]","[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>]"
8,7,2.769,0.05,0.002,"[16, 2, 16]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>, <function leaky_relu at 0x1070f0900>]"
8,8,2.9186666,0.02,0.005,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
8,9,2.7913332,0.005,0.005,"[2, 2]","[<function relu at 0x1070f04a0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
8,10,3.0305,0.01,0.001,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
8,11,2.7705,0.001,0.002,"[64, 8, 16]","[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
9,0,2.901,0.01,0.005,"[2, 2]","[<function relu at 0x1070f04a0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
9,1,2.868,0.005,0.002,"[2, 8]","[<function softmax at 0x1070f0cc0>, <function relu at 0x1070f04a0>, <function relu at 0x1070f04a0>]"
9,2,2.8833332,0.01,0.001,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
9,3,3.0015,0.02,0.005,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
9,4,2.8181665,0.05,0.008,"[64, 8, 16]","[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
9,5,3.1061666,0.05,0.002,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
9,6,3.2935,0.01,0.002,"[2, 8, 16]","[<function relu at 0x1070f04a0>, <built-in method tanh of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
9,7,2.951333,0.005,0.002,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
9,8,3.0338333,0.01,0.005,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
9,9,3.1051664,0.005,0.001,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
9,10,2.8346667,0.05,0.008,"[64, 8]","[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>]"
9,11,2.908,0.05,0.002,"[16, 2, 16]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>, <function leaky_relu at 0x1070f0900>]"
10,0,3.5203333,0.01,0.002,"[2, 8, 16]","[<function relu at 0x1070f04a0>, <built-in method tanh of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
10,1,3.1868331,0.05,0.008,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
10,2,3.0045,0.01,0.005,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
10,3,2.9228332,0.005,0.002,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
10,4,3.0471666,0.005,0.001,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
10,5,3.2673333,0.02,0.005,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
10,6,3.0401666,0.01,0.002,"[2, 2]","[<function relu at 0x1070f04a0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
10,7,3.053,0.01,0.002,"[16, 8, 16]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
10,8,3.0195,0.01,0.005,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
10,9,3.0451665,0.005,0.002,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
10,10,2.9491665,0.02,0.001,"[4, 64, 2, 2]","[<function relu at 0x1070f04a0>, <function relu at 0x1070f04a0>, <function relu at 0x1070f04a0>, <function relu at 0x1070f04a0>, <function leaky_relu at 0x1070f0900>]"
10,11,2.8983333,0.005,0.001,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
11,0,2.983,0.02,0.005,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
11,1,2.858,0.005,0.001,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
11,2,3.0485,0.005,0.002,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
11,3,3.2368333,0.01,0.002,"[16, 8, 16]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
11,4,3.0455,0.05,0.008,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
11,5,3.3595,0.01,0.002,"[2, 8, 16]","[<function relu at 0x1070f04a0>, <built-in method tanh of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
11,6,3.0315,0.02,0.001,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
11,7,3.0616665,0.02,0.001,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
11,8,3.112,0.01,0.002,"[16, 8, 16]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
11,9,2.9031665,0.005,0.002,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
11,10,2.7668335,0.05,0.002,"[16, 8, 16]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
